"infinitive","participle_II","translation","mistakes"
"abbringen von","hat abgebracht","apartar de, desviar de",1
"abdichten gegen","hat abgedichtet","aislar contra",1
"abdichten","hat abgedichtet","insonorizar, impermeabilizar",1
"abhängen von","hat abgehängt","depender de",1
"abhängen","hat abgehängt","manir, bajar, descolgar, desacoplar",1
"abhärten gegen","hat abgehärtet","robustecer contra",1
"sich abhärten","hat abgehärtet","endurecerse, fortalecerse",1
"ablassen von","hat abgelassen","desistir de, abandonar",1
"ablassen","hat abgelassen","dejar salir, purgar, vaciar, no poner",1
"sich ableiten aus/von","hat abgeleitet","derivarse de",1
"ableiten","hat abgeleitet","desviar, transvasar, eliminar, ",1
"abnehmen","hat abgenommen","declinar, adelgazar, quitar, ampuntar",1
"abschirmen gegen","hat abgeschirmt","proteger de/contra",1
"abschirmen","hat abgeschirmt","matizar, proteger",1
"abschreiben","hat abgeschrieben","transcribir, amortizar",2
"abschreiben von","hat abgeschrieben","copiar de",2
"absetzen","hat abgesetzt","quitarse, depositar, posar, derribar",1
"absetzen auf","hat abgesetzt","depositar en, poner en, dejar en",1
"absetzen an/in","hat abgesetzt","dejar en",1
"sich absetzen","hat abgesetzt","acumularse, amontonarse, depositarse",1
"sich absetzen von/gegen","hat abgesetzt","destacarse de (entre)",1
"abstellen","hat abgestellt","colocar, poner, dejar, cerrar",1
"abstellen für","hat abgestellt","enviar a",1
"abstellen auf etwas","hat abgestellt","ajustarse a algo",1
"abtrocknen","hat abgetrocknet","secar",1
"sich abtrocknen","hat abgetrocknet","secarse",1
"abweichen","ist abgewichen","discrepar",1
"abweichen von","ist abgewichen","desviarse de, apartarse de, diferir de, diverger de",1
"achten","hat geachtet","estimar, respetar, apreciar, observar",1
"achten auf","hat geachtet","cuidar de, atender a, fijarse en, prestar atención",1
"ächten","hat geächtet","proscribir, desterrar, apartar, aislar",13
"achtgeben auf","hat achtgegeben","atender a, prestar atención a, cuidar de",1
"adaptieren für","hat adaptiert","adaptar a",1
"sich adaptieren an","hat adaptiert","adaptarse a",1
"agitieren für","hat agitiert","hacer propaganda por",1
"agitieren gegen","hat agitiert","hacer propaganda contra",1
"anbieten","hat angeboten","ofrecer, brindar, ofertar, proponer",1
"sich anbieten","hat angeboten","ser apropiado",1
"sich anbieten zu","hat angeboten","brindarse a",1
"sich anbieten als zu","hat angeboten","ofrecerse como/para/de",1
"annehmen","hat angenommen","aceptar, tomar, adoptar, contraer",1
"anrufen","hat angerufen","llamar, pedir, implorar, invocar",1
"anschauen","hat angeschaut","mirar",1
"anstoßen","ist angestoßen","empujar",1
"anstoßen an","ist angestoßen","golpearse en/contra",1
"anstoßen auf","ist angestoßen","brindar por",1
"anstrengen","hat angestrengt","cansar, fatigar",2
"sich anstrengen","hat angestrengt","esforzarse, esmerarse",2
"antworten auf","hat geantwortet","responder a, contestar a",1
"anzünden","hat angezündet","encender fuego, encender, prender",1
"arbeiten","hat gearbeitet","trabajar",1
"aufgeben","hat aufgegeben","rendirse, renunciar, enviar, proponer",1
"aufheben","hat aufgehoben","guardar, anular, levantar, compensar",2
"aufheben von","hat aufgehoben","recoger de",2
"aufmachen","hat aufgemacht","abrir, soltar deshacer, poner",1
"sich aufmachen zu","hat aufgemacht","irse a",1
"aufnehmen","hat aufgenommen","comenzar, retomar, asimilar, pedir",1
"aufnehmen von","hat aufgenommen","recoger de",1
"aufnehmen auf","hat aufgenommen","grabar en",1
"aufnehmen in","hat aufgenommen","ingresar en, admitir en",3
"aufräumen","hat aufgeräumt","ordenar, arreglar",1
"aufstehen","ist aufgestanden","levantarse, ponerse de pie, madrugar, alzarse",1
"aufwachen","ist aufgewacht","dejar de dormir",1
"aufwachen aus","ist aufgewacht","despertar(se) de",1
"aufwecken","hat aufgeweckt","despertar",1
"aufwärmen","hat aufgewärmt","recalentar",1
"sich aufwärmen","hat aufgewärmt","calentarse, entrar en calor, precalentar",1
"ausfallen","ist ausgefallen","caerse, suspenderse, fallar, resultar",1
"ausfällen","hat ausgefällt","precipitar",1
"ausgeben","hat ausgegeben","distribuir, emitir, dar, expender",1
"ausgeben für","hat ausgegeben","gastar en",1
"sich ausgeben als/für","hat ausgegeben","hacerse pasar por",1
"auspacken","hat ausgepackt","desempaquetar, abrir, desenvolver, desembalar",1
