"infinitive","participle_II","translation","mistakes"
"бежать"," ","correr",12
"брать"," ","tomar (coger)",9
"варить"," ","cocinar",10
"вести"," ","conducir",10
"видеть"," ","ver",10
"врать"," ","mentir",12
"говорить"," ","hablar",11
"готовить"," ","cocinar",12
"делать"," ","hacer",9
"держать"," ","mantener, sostener, tener agarrado",11
"думать"," ","pensar",10
"дышать"," ","respirar",10
"есть"," ","comer",7
"желать"," ","desear",11
"звонить"," ","llamar",9
"играть"," ","jugar",8
"идти"," ","ir",9
"изучать"," ","estudiar",12
"исчислять"," ","calcular, computar",10
"кусать"," ","morder",9
"кушать"," ","comer",9
"лгать"," ","mentir",11
"летать"," ","volar",9
"любить"," ","amar",10
"называется"," ","llamarse",9
"нравиться"," ","agradar, gustar",16
"ожидать"," ","esperar",10
"окрасить"," ","pintar",9
"петь"," ","cantar",11
"писать"," ","leer",10
"писать"," ","orinar",8
"пить"," ","beber",11
"приветствовать"," ","saludas, dar bienvenida",11
"приходить"," ","llegar",11
"работать"," ","trabajar",10
"разговаривать"," ","hablar, conversar",12
"раздражать"," ","molestar, irritar",12
"рассказать"," ","relatar, contar, narrar",10
"расти"," ","crecer",7
"резать"," ","cortar, rebanar",12
"рисовать"," ","dibujar",13
"сидеть"," ","estar sentado",12
"слушать"," ","escuchar",11
"смотреть"," ","mirar",9
"спать"," ","dormir",8
"стоять"," ","estar parado",9
"танцевать"," ","bailar",9
"ударить"," ","golpear, herir, atacar, chocar, batir",10
"хотеть"," ","querer",10
"царапать"," ","rasguñar, arañar, rayar, rascar, raspar",11
"читать"," ","leer",11
